music_id,user_id,title,ensemble,instrument,genre,key,date,duration,original_author,original_title,public_domain,favorites,difficulty,pages,views,parts,link
4197961,,Merry-Go-Round of Life: Howl's Moving Castle Piano Tutorial,Solo,['Piano'],,"['B♭ major', 'G minor']","Jul 05, 2017",05:15,,,NE,153308,Intermediate,7,3934124,1,https://musescore.com/user/16006641/scores/4197961
3291706,,River Flows In You,Solo,['Piano'],,"['A major', 'F♯ minor']","Jan 24, 2017",02:47,,,NE,186249,Intermediate,4,5447959,1,https://musescore.com/user/12461571/scores/3291706
1019991,,Canon in D,Solo,['Piano'],,"['D major', 'B minor']","Jul 01, 2015",04:05,,,DA,121775,Intermediate,6,2939526,1,https://musescore.com/user/1809056/scores/1019991
33816,,Für Elise – Beethoven,Solo,['Piano'],,"['C major', 'A minor']","Dec 22, 2011",02:37,,,DA,101201,Intermediate,3,2579975,1,https://musescore.com/user/19710/scores/33816
58553,,Clair de Lune – Debussy,Solo,['Piano'],,"['D♭ major', 'B♭ minor']","Aug 05, 2012",04:36,,,DA,106103,Advanced,6,2894230,1,https://musescore.com/user/19710/scores/58553
4383881,,Chopin - Nocturne Op 9 No 2 (E Flat Major),Solo,['Piano'],,"['E♭ major', 'C minor']","Aug 14, 2017",03:40,,,DA,90793,Advanced,4,2104964,1,https://musescore.com/user/6662591/scores/4383881
4766391,,Gymnopédie No. 1 – Satie,Solo,['Piano'],,[],"Oct 21, 2017",,,,DA,64432,Beginner,3,1465822,1,https://musescore.com/user/19710/scores/4766391
4217351,,Hallelujah,Solo,['Piano'],,"['C major', 'A minor']","Jul 09, 2017",01:54,,,NE,80533,Beginner,2,1288399,1,https://musescore.com/user/21965011/scores/4217351
1749181,,Waltz in A Minor(Chopin),Solo,['Piano'],,"['C major', 'A minor']","Feb 13, 2016",02:00,,,DA,59884,Beginner,2,927779,1,https://musescore.com/user/4609986/scores/1749181
55352,,"Sonate No. 14, “Moonlight” 1st Movement",Solo,['Piano'],,"['E major', 'C♯ minor']","Jul 06, 2012",06:16,,,DA,59132,Intermediate,4,1530735,1,https://musescore.com/user/19710/scores/55352
1421196,,Pirates of the Caribbean - He's a Pirate,Solo,['Piano'],,[],"Nov 18, 2015",,,,NE,56076,Beginner,3,984367,1,https://musescore.com/user/2830596/scores/1421196
5682727,,Je Te Laisserai Des Mots - Patrick Watson,Solo,['Piano'],,"['D major', 'B minor']","Aug 20, 2019",02:30,,,NE,55545,Beginner,2,1163961,1,https://musescore.com/user/27024618/scores/5682727
1463381,,One Summer's Day (Spirited Away),Solo,['Piano'],,"['C major', 'A minor']","Nov 29, 2015",03:31,,,NE,59960,Intermediate,3,1709563,1,https://musescore.com/user/2466621/scores/1463381
1352796,,Undertale - Megalovania [Piano] (ver. 3),Solo,['Piano'],,"['F major', 'D minor']","Oct 31, 2015",02:36,,,NE,47248,Advanced,7,1903107,1,https://musescore.com/user/73972/scores/1352796
3022181,,Carol of the Bells,Solo,['Piano'],,"['F major', 'D minor']","Dec 03, 2016",02:01,,,DA,32748,Intermediate,2,673786,1,https://musescore.com/user/12287421/scores/3022181
33715,,"Sonate No. 14, “Moonlight” 3rd Movement",Solo,['Piano'],,"['E major', 'C♯ minor']","Dec 21, 2011",06:46,,,DA,45185,Advanced,12,1431820,1,https://musescore.com/user/19710/scores/33715
5619808,,Passacaglia,Solo,['Piano'],,"['C major', 'A minor']","Jun 23, 2019",02:17,,,DA,23746,Intermediate,3,417738,1,https://musescore.com/user/31423751/scores/5619808
4680761,,Sweden (Minecraft),Solo,['Piano'],,"['D major', 'B minor']","Oct 07, 2017",02:05,,,NE,40305,Beginner,1,1105368,1,https://musescore.com/user/2466621/scores/4680761
4993952,,Another Love  - Tom Odell (Professional),Solo,['Piano'],,"['G major', 'E minor']","Feb 27, 2018",04:01,,,NE,39238,Intermediate,7,1045294,1,https://musescore.com/user/24716841/scores/4993952
142975,,WA Mozart Marche Turque (Turkish March fingered),Solo,['Piano'],,[],"Nov 19, 2013",,,,DA,25496,Intermediate,5,666102,1,https://musescore.com/user/73797/scores/142975
2163051,,"Game of Thrones, Easy piano",Solo,['Piano'],,"['E♭ major', 'C minor']","May 18, 2016",01:39,,,NE,52901,Beginner,3,1369130,1,https://musescore.com/user/158751/scores/2163051
4455576,,Fly Me to the Moon,Solo,['Piano'],,"['C major', 'A minor']","Aug 29, 2017",02:05,,,NE,40946,Intermediate,4,752948,1,https://musescore.com/user/2538606/scores/4455576
1993341,,Opus 27 No 2 Moonlight Sonata 1st movement,Solo,['Piano'],,"['E major', 'C♯ minor']","Apr 12, 2016",05:25,,,NE,25044,Intermediate,9,548405,1,https://musescore.com/user/8927976/scores/1993341
65159,,Liebestraum S. 541 No. 3 in A♭ Major – Liszt,Solo,['Piano'],,"['A♭ major', 'F minor']","Sep 29, 2012",03:50,,,DA,29630,Advanced,6,770789,1,https://musescore.com/user/19710/scores/65159
1798726,,Interstellar-Suite - Hans Zimmer,Solo,['Piano'],,"['C major', 'A minor']","Feb 24, 2016",14:48,,,NE,31903,Advanced,13,639055,1,https://musescore.com/user/1515281/scores/1798726
1871671,,Gravity Falls Opening - Intermediate Piano Solo,Solo,['Piano'],,"['F major', 'D minor']","Mar 13, 2016",00:41,,,NE,45326,Beginner,2,705512,1,https://musescore.com/user/5484416/scores/1871671
4634731,,Ed Sheeran  - Perfect (Piano Arrangement),Solo,['Piano'],,"['A♭ major', 'F minor']","Sep 29, 2017",04:21,,,NE,51563,Advanced,6,1374231,1,https://musescore.com/user/8203336/scores/4634731
117279,,"Prelude I in C major, BWV 846 - Well Tempered Clavier [First Book]",Solo,['Piano'],,"['C major', 'A minor']","Jul 09, 2013",01:59,,,DA,20086,Beginner,2,649550,1,https://musescore.com/user/101554/scores/117279
