author_id,name

0,M0tl3y C1ue

7,7!!

24,24KGoldn

47,Dimrain47

65,Eiffel 65

418,C418

4200,Eduardo Di Capua

8553,Julius Fučík

10345,Johan Halvorsen

10402,W. C. Handy

10420,"Hanon, Charles-Louis"

11864,Javier Jacinto

17653,Michał Kleofas Ogiński

18560,Christian Pezold

19940,Oskar Rieding

22216,Alexander Siloti

22392,Bedřich Smetana

24760,Ángel Gregorio Villoldo

26405,Fritz Kreisler

26409,AJR

26411,Gustav Holst

26416,Johann Sebastian Bach

26453,Ludwig Van Beethoven

26454,Mykola Leontovych

26456,Franz Schubert

26466,Niccolò Paganini

26468,Toby Fox

26493,Maurice Ravel

26495,John Powell

26551,Erik Satie

26552,Lucky Chops

26556,Billy Joel

26559,BTS

26571,Johannes Brahms

26582,Masaru Yokoyama

26605,Joe Hisaishi

26633,Michael Giacchino

26700,Lin-Manuel Miranda

26714,Henry Mancini

26737,Felix Mendelssohn

26752,Lowell Mason

27110,Alan Menken

27255,Edvard Grieg

27495,Taylor Swift

27497,Fkj

27771,Friedrich Burgmüller

28678,John Newton

28724,C. C. Greenwood

29894,Georges Bizet

29978,Richard Wagner

31285,Charles Gounod

31292,Sergei Rachmaninoff

31365,Giuseppe Verdi

31367,Camille Saint-Saëns

31394,Gabriel Fauré

31420,Edward Elgar

31435,Wolfgang Amadeus Mozart

31488,Robert Schumann

31695,Pyotr Ilyich Tchaikovsky

32243,Rebecca Sugar

32472,Claude Debussy

32672,Carl Philipp Emanuel Bach

32722,César Franck

33347,Giuseppe Tartini

33970,Hans Zimmer

33979,Antonín Dvořák

34620,Yoko Shimomura

34628,ALI

34719,Franz Xaver Gruber

34808,Friedrich Kuhlau

34847,Harry Styles

35048,James Pierpont

35114,Evan Call

127962,Westlife

127979,Van Halen

128077,Toto

128106,Simon &amp; Garfunkel

128162,Styx

128226,Scorpions

128251,Sting

128294,Smash Mouth

128339,Red Hot Chili Peppers

128351,The Rolling Stones

128356,Radiohead

128357,Roxette

128368,Queen

128425,Pixies

128442,Pink Floyd

128484,Oasis

128606,Misc Traditional

128607,Misc Television

128608,Misc Praise Songs

128609,Misc Computer Games

128611,Misc

128620,Misc Soundtrack

128634,Misc Christmas

128635,Muse

128644,Metallica

128699,Linkin Park

128792,Journey

128794,Jamiroquai

128932,Genesis

128933,Gazebo

128936,Guns N' Roses

128951,Five For Fighting

129030,Eve

129038,Electric Light Orchestra

129041,Eminem

129049,Eagles

129090,Daft Punk

129134,Depeche Mode

129137,Dr. Dre

129139,The Doors

129149,Disturbed

129166,The Charlie Daniels Band

129259,Coldplay

129286,Boney M.

129325,The Blues Brothers

