name,original_title
Brad Breeck,Gravity Falls Theme
C418,Sweden
Claude Debussy,Clair De Lune
Ed Sheeran,Perfect
Frank Sinatra,Fly Me To The Moon
Franz Liszt,"Liebesträume, S.541"
Franz Lizst,La Campanella
Frédéric Chopin,"Nocturnes, Op.9"
Hans Zimmer,Interstellar
Imagine Dragons,Believer
Jake25.17,What Falling In Love Feels Like
Joe Hisaishi,Merry-Go-Round Of Life
Johan Halvorsen,Passacaglia For Violin And Viola
Johann Pachelbel,"Canon And Gigue In D Major, P.37"
Johann Sebastian Bach,"Prelude And Fugue In C Major, BWV 846"
Leonard Cohen,Hallelujah
Lewis Capaldi,Someone You Loved
Ludwig Van Beethoven,"Für Elise, WoO 59"
Mariah Carey,All I Want For Christmas Is You
Misc Tunes,Turkish Bitch
Mykola Leontovych,Carol Of The Bells
Patrick Watson,Je Te Laisserai Des Mots
Ramin Djawadi,Game Of Thrones Theme
Richard Clayderman,Mariage D'amour
Roland Orzabal,Mad World
Scott Joplin,The Entertainer
Toby Fox,Megalovania
Tom Odell,Another Love
Wolfgang Amadeus Mozart,"Piano Sonata No.11 In A Major, K.331/300i"
Yiruma,River Flows In You
